budget_user_id,month_year,group,budget_user_name,Zaposlitve,Bruto placa,NA1,C,NA2,D,NA3,E,NA4,NA5,NA6,I,NA7,J,NA8,O,NA9
00078,2020-01,0. PRORAČUNSKI UPORABNIK NI ČLAN PODSKUPINE RPU,"Javni gospodarski zavod, Protokolarne storitve Republike Slovenije",176,236.503,1.344,24.290,138,0,0,1.581,9,225,1,23.301,132,0,0,0,0
00086,2020-01,0. PRORAČUNSKI UPORABNIK NI ČLAN PODSKUPINE RPU,Zavod Republike Slovenije za blagovne rezerve,64,127.683,1.995,13.275,207,0,0,0,0,730,11,9.132,143,0,0,0,0
00094,2020-01,0. PRORAČUNSKI UPORABNIK NI ČLAN PODSKUPINE RPU,Javni gospodarski zavod Rinka,17,28.057,1.650,1.785,105,0,0,0,0,0,0,2.462,145,0,0,0,0
11118,2020-01,1.1. NEVLADNI PRORAČUNSKI UPORABNIKI,PREDSEDNIK REPUBLIKE SLOVENIJE,43,123.106,2.863,10.725,249,1.749,41,834,19,0,0,5.536,129,0,0,0,0
12114,2020-01,1.1. NEVLADNI PRORAČUNSKI UPORABNIKI,DRŽAVNI ZBOR,467,1.228.333,2.630,64.346,138,11.955,26,11.480,25,0,0,69.726,149,5.391,12,0,0
12122,2020-01,1.1. NEVLADNI PRORAČUNSKI UPORABNIKI,DRŽAVNI SVET REPUBLIKE SLOVENIJE,28,70.444,2.516,4.227,151,874,31,959,34,0,0,2.643,94,0,0,0,0
12130,2020-01,1.1. NEVLADNI PRORAČUNSKI UPORABNIKI,DRŽAVNA VOLILNA KOMISIJA,9,15.880,1.764,942,105,899,100,113,13,262,29,996,111,0,0,0,0
12149,2020-01,1.1. NEVLADNI PRORAČUNSKI UPORABNIKI,VARUH ČLOVEKOVIH PRAVIC,53,133.675,2.522,6.031,114,174,3,0,0,342,6,6.100,115,288,5,0,0
12157,2020-01,1.1. NEVLADNI PRORAČUNSKI UPORABNIKI,INFORMACIJSKI POOBLAŠČENEC,48,129.447,2.697,4.990,104,1.989,41,0,0,124,3,5.342,111,288,6,0,0
12173,2020-01,1.1. NEVLADNI PRORAČUNSKI UPORABNIKI,NACIONALNA AGENCIJA RS ZA KAKOVOST V VISOKEM ŠOLSTVU,30,45.054,1.502,2.289,76,0,0,0,0,0,0,3.093,103,0,0,0,0
