month_year,employees_by_hours,employees,employees_all,A,B,C,D,E,F,G,H,I,J,L,N,O
2010-01,157011,160867,165345,210004802,31121056,25266478,7125292,7529438,158712,7631308,5481991,26537,1862162,16607,52239,2420457
2010-02,157490,161752,165999,207362467,37028994,24409798,6675565,6736434,160013,7672770,5464464,11960,989533,14611,60870,2106380
2010-03,157996,161468,166362,222050878,17442783,25118252,7690731,6871129,163963,7632041,5617480,14137,3609763,17496,52546,2175728
2010-04,158343,160998,167527,194777713,49992486,23367729,6842500,7242284,160627,6688615,5456091,20243,86874605,16195,62099,2353443
2010-05,158690,161196,166439,220099190,23321499,25941969,8815132,7427293,178597,6139648,5284340,29622,5405138,17735,53192,2600107
2010-06,159138,161885,166247,204213027,41392005,24153629,8043075,7135778,169508,5873120,5058186,21905,1587140,16217,54435,2363699
2010-07,158508,161576,165953,153621668,98681461,19175712,4378021,6424673,164264,4448763,4635272,20554,3312570,13402,57805,2413424
2010-08,158263,160878,165499,158771837,94591829,19100171,4220533,6420213,174879,3992222,4396627,15994,3013193,11544,61290,2452992
2010-09,159241,162579,167147,210747438,37046249,24087750,6623111,6115188,187802,6476446,4575453,24261,2958364,15338,62000,1641350
2010-10,159372,162520,167123,220274533,23645657,25315561,6588684,6935166,169489,7920774,5143539,19417,2693256,16977,63314,2505522
2010-11,159701,163479,168043,217677495,26785607,25188086,9833476,6953032,166383,7907076,5553213,30474,3715789,17740,73320,2298775
2010-12,159297,162977,168057,216681272,26981261,24763931,8160431,6985916,188498,7806931,5859859,155518,8344225,18243,74132,2378532
2011-01,158052,162487,167407,222678774,19573731,25452730,6589176,7480784,164562,9072773,6315281,177627,2350759,17554,67948,1541879
2011-02,158419,162886,167614,207624821,39659433,23823389,6303692,6832932,168634,9234086,6275578,168910,1062936,16266,59005,1326888
2011-03,158995,162869,167977,225579211,18286859,25040397,7495724,7083280,173608,8256722,5981933,199229,2811720,17864,65270,1408622
2011-04,159656,163645,170007,198307055,51339929,23382197,6189442,7633987,166698,6702805,5578897,185519,87068834,14849,57985,1378048
2011-05,160058,163241,168458,214490683,34965698,25132494,7664895,8120438,163511,5966987,5436119,276703,5321409,17155,60409,1352697
2011-06,160310,163694,168801,218729278,31454826,25215155,7420511,7960885,159571,6015213,5279680,180436,1980770,17629,57702,1270695
2011-07,159607,163211,168180,154613138,102083602,19114277,4040106,7488858,176277,4593776,4693470,148370,2754141,12113,62724,1262916
2011-08,159630,162177,166818,150014714,106132820,18101311,3755028,6737856,206104,4066088,4324102,151975,2142995,13514,61011,1242486
2011-09,160159,164046,168786,214192317,35648063,23789515,5799122,6594480,206495,6270205,4692222,190550,2183400,16525,60782,1210139
2011-10,160439,164658,169258,217209781,28953755,24986216,7065416,7290450,182302,7792432,5261473,287931,1728333,17453,64547,1355687
2011-11,160631,164578,169671,217862935,29667090,25727506,9001633,7130504,175033,7442126,5590241,376973,2435995,17583,59969,1259178
2011-12,160868,164495,169627,211570061,39291132,24381374,7849385,6974206,190897,7426795,5758551,357888,3048932,17823,72273,1291804
2012-01,160573,164554,169604,217250713,30561665,25324071,6686006,7031269,175891,7986188,5846779,479783,1616430,17374,63936,1405913
2012-02,160863,165129,169864,210050560,38572903,24330760,6170825,6728696,178849,8800909,6025565,540767,1323785,15281,65849,1277996
2012-03,161206,164955,170170,225139010,19189904,25210728,7501874,6707339,192665,9297206,6317240,743351,1388819,17171,62365,1299484
2012-04,161401,165460,170377,203313960,48219506,24224128,6209932,7030093,181360,6876837,5626212,784754,8030593,17705,374188,1450002
2012-05,161826,164704,171232,204134968,46733540,24603358,6543014,6925651,169184,6001845,5409263,815202,31865801,15258,-13286,1502863
2012-06,161816,164127,170055,197564325,46135391,23319384,6418661,6702342,154441,5454297,4974390,203991,8143661,13141,60930,1470072
2012-07,161002,164136,169042,150339499,99816034,18532192,3621043,6158933,165230,4402778,4430741,57836,6878364,12097,60854,1456739
2012-08,159909,162766,167408,146432823,100420373,17932551,3518269,5992454,173343,3800722,4095867,68388,3068943,11903,55698,1474877
2012-09,159868,163104,167932,204012877,35572908,23350584,5447513,6252815,191832,5839329,4305524,78861,2845029,15793,56208,1474416
2012-10,159785,163096,167519,206668823,30493808,24170236,5774645,6173357,180906,7065847,4756043,58827,2437357,16874,65044,1627704
2012-11,159317,162603,167371,208352987,28045581,24344604,7839201,5914519,163490,6820499,5007357,57844,2970888,16470,55853,1458352
2012-12,159214,162313,167181,187863481,49895126,23180619,7350692,6535724,173504,6404846,5149875,55774,6668125,15330,50984,1741681
2013-01,157675,161736,166648,202296728,31460520,24495310,5591700,5997406,154656,7620288,5479143,75683,1620707,15375,170956,1640823
2013-02,157534,161539,166559,196661129,36083859,22731450,5384367,5510895,161720,8828129,5650663,47766,1608892,12196,45824,1554035
2013-03,157775,161856,166715,212764089,18538983,24409082,5974612,5948286,162707,8826124,5695712,51323,1258238,14888,38383,1681406
2013-04,157927,162629,167840,201047372,34707065,23877600,5421963,5991291,155727,7351393,5414762,54856,5886170,15144,27901,1686014
2013-05,158792,161233,173551,191512105,44730045,23092498,5388567,6066833,151681,5626440,5019495,55832,80771865,12909,39224,1738010
2013-06,158778,161348,166751,190335014,44609977,22359227,6275112,6021951,146139,4760360,4712187,53887,3466435,12247,41458,1728020
2013-07,158145,161463,166172,146657890,93784094,17759665,3505768,5386843,160310,3578590,4117705,48832,1627606,10972,51312,1615916
2013-08,158031,161040,165425,142440576,98809318,17049445,3119545,5372714,180382,3254965,3847250,39512,1748386,11293,51155,1749042
2013-09,158426,162937,167252,203519636,34205811,22816587,6399395,5549028,159041,5181130,4098990,61159,2472635,15689,46384,1637961
2013-10,158429,162786,167080,202188018,30753850,23387111,6269150,5585939,141610,6092753,4573455,58063,1486757,0,49654,1803825
2013-11,158287,162517,167122,207294195,25470940,23591247,8578153,5988765,150170,5965889,4946746,57851,1980291,0,42428,1822345
2013-12,158151,162932,167450,191403518,46953594,23203375,7199653,6091341,151055,5497320,5056373,46653,3671452,74,45681,1983043
2014-01,157255,161344,166222,203052687,29885987,23450770,6197270,5511160,138419,5978586,5341205,59181,1056056,0,37881,1862218
2014-02,157134,159732,164343,202271597,25921455,22881199,5816773,5167429,130393,7325712,5442289,91731,954077,166,26549,1635956
2014-03,157792,160962,165544,210658393,17533699,23863560,6839733,5890252,132384,6852684,5422358,16601833,1366707,0,35297,1836287
2014-04,157918,161597,166090,197393744,37221816,22825461,6335603,5574958,131413,5691385,5102498,18737303,2825333,0,36525,1791907
2014-05,158245,161125,168833,193169872,43409730,22940415,6307958,6069142,126377,4824598,4966384,19139251,52324163,0,36538,1911539
2014-06,158450,161557,166300,196084721,41853096,23245126,6680709,6121933,126475,4634410,4789153,18558599,4120118,202,40477,1810075
